"Rot.Freq.";"Mode 1";"Mode 2";"Mode 3";"Mode 4";"Mode 5";"Mode 6";"Mode 7";"Mode 8";"Mode 9";"Mode 10";"Mode 11";"Mode 12";"Mode 13";"Mode 14";"Mode 15";"Mode 16";"Mode 17";"Mode 18";"Mode 19";"Mode 20";"Mode 21";"Mode 22";"Mode 23";"Mode 24";"Mode 25";"Mode 26";"Mode 27";"Mode 28";"Mode 29";"Mode 30";"Mode 31";"Mode 32";"Mode 33";"Mode 34";"Mode 35";"Mode 36";"Mode 37";"Mode 38";"Mode 39";"Mode 40";"Mode 41";"Mode 42";"Mode 43";"Mode 44";"Mode 45";"Mode 46";"Mode 47";"Mode 48";"Mode 49";"Mode 50";"Mode 51";"Mode 52";"Mode 53";"Mode 54";"Mode 55";"Mode 56";"Mode 57";"Mode 58";"Mode 59";"Mode 60"
 0.000000E+00 ; 3.611782E+01 ;-3.611782E+01 ; 3.623529E+01 ;-3.623529E+01 ; 1.287242E+02 ;-1.287242E+02 ; 1.299822E+02 ;-1.299822E+02 ; 3.269794E+02 ;-3.269794E+02 ; 3.345591E+02 ;-3.345591E+02 ; 5.558982E+02 ;-5.558982E+02 ; 5.718304E+02 ;-5.718304E+02 ; 8.177451E+02 ;-8.177451E+02 ; 8.449796E+02 ;-8.449796E+02 ; 1.132007E+03 ;-1.132007E+03 ; 1.211804E+03 ;-1.211804E+03 ; 1.284190E+03 ;-1.284190E+03 ; 1.376243E+03 ;-1.376243E+03 ; 1.455736E+03 ;-1.455736E+03 ; 1.501697E+03 ;-1.501697E+03 ; 2.415499E+03 ;-2.415499E+03 ; 2.472298E+03 ;-2.472298E+03 ; 2.789312E+03 ;-2.789312E+03 ; 2.792581E+03 ;-2.792581E+03 ; 2.926023E+03 ;-2.926023E+03 ; 3.011265E+03 ;-3.011265E+03 ; 3.931981E+03 ;-3.931981E+03 ; 3.949476E+03 ;-3.949476E+03 ; 5.222857E+03 ;-5.222857E+03 ; 5.222860E+03 ;-5.222860E+03 ; 6.802024E+03 ;-6.802024E+03 ; 6.842465E+03 ;-6.842465E+03 ; 7.338923E+03 ;-7.338923E+03 ; 7.370253E+03 ;-7.370253E+03
 1.666667E+00 ; 3.611699E+01 ;-3.611699E+01 ; 3.623611E+01 ;-3.623611E+01 ; 1.287239E+02 ;-1.287239E+02 ; 1.299824E+02 ;-1.299824E+02 ; 3.269762E+02 ;-3.269762E+02 ; 3.345621E+02 ;-3.345621E+02 ; 5.558853E+02 ;-5.558853E+02 ; 5.718434E+02 ;-5.718434E+02 ; 8.177264E+02 ;-8.177264E+02 ; 8.449982E+02 ;-8.449982E+02 ; 1.132007E+03 ;-1.132007E+03 ; 1.211804E+03 ;-1.211804E+03 ; 1.284189E+03 ;-1.284189E+03 ; 1.376245E+03 ;-1.376245E+03 ; 1.455727E+03 ;-1.455727E+03 ; 1.501709E+03 ;-1.501709E+03 ; 2.415497E+03 ;-2.415497E+03 ; 2.472300E+03 ;-2.472300E+03 ; 2.789299E+03 ;-2.789299E+03 ; 2.792595E+03 ;-2.792595E+03 ; 2.926023E+03 ;-2.926023E+03 ; 3.011265E+03 ;-3.011265E+03 ; 3.931960E+03 ;-3.931960E+03 ; 3.949497E+03 ;-3.949497E+03 ; 5.222707E+03 ;-5.222707E+03 ; 5.223009E+03 ;-5.223009E+03 ; 6.802021E+03 ;-6.802021E+03 ; 6.842468E+03 ;-6.842468E+03 ; 7.338921E+03 ;-7.338921E+03 ; 7.370254E+03 ;-7.370254E+03
 3.333333E+00 ; 3.611459E+01 ;-3.611459E+01 ; 3.623851E+01 ;-3.623851E+01 ; 1.287232E+02 ;-1.287232E+02 ; 1.299831E+02 ;-1.299831E+02 ; 3.269666E+02 ;-3.269666E+02 ; 3.345710E+02 ;-3.345710E+02 ; 5.558468E+02 ;-5.558468E+02 ; 5.718825E+02 ;-5.718825E+02 ; 8.176706E+02 ;-8.176706E+02 ; 8.450537E+02 ;-8.450537E+02 ; 1.132007E+03 ;-1.132007E+03 ; 1.211805E+03 ;-1.211805E+03 ; 1.284185E+03 ;-1.284185E+03 ; 1.376251E+03 ;-1.376251E+03 ; 1.455698E+03 ;-1.455698E+03 ; 1.501743E+03 ;-1.501743E+03 ; 2.415493E+03 ;-2.415493E+03 ; 2.472305E+03 ;-2.472305E+03 ; 2.789259E+03 ;-2.789259E+03 ; 2.792635E+03 ;-2.792635E+03 ; 2.926022E+03 ;-2.926022E+03 ; 3.011267E+03 ;-3.011267E+03 ; 3.931898E+03 ;-3.931898E+03 ; 3.949561E+03 ;-3.949561E+03 ; 5.222556E+03 ;-5.222556E+03 ; 5.223160E+03 ;-5.223160E+03 ; 6.802011E+03 ;-6.802011E+03 ; 6.842478E+03 ;-6.842478E+03 ; 7.338917E+03 ;-7.338917E+03 ; 7.370259E+03 ;-7.370259E+03
 5.000000E+00 ; 3.611079E+01 ;-3.611079E+01 ; 3.624231E+01 ;-3.624231E+01 ; 1.287221E+02 ;-1.287221E+02 ; 1.299841E+02 ;-1.299841E+02 ; 3.269505E+02 ;-3.269505E+02 ; 3.345858E+02 ;-3.345858E+02 ; 5.557830E+02 ;-5.557830E+02 ; 5.719473E+02 ;-5.719473E+02 ; 8.175780E+02 ;-8.175780E+02 ; 8.451457E+02 ;-8.451457E+02 ; 1.132007E+03 ;-1.132007E+03 ; 1.211807E+03 ;-1.211807E+03 ; 1.284180E+03 ;-1.284180E+03 ; 1.376260E+03 ;-1.376260E+03 ; 1.455651E+03 ;-1.455651E+03 ; 1.501801E+03 ;-1.501801E+03 ; 2.415485E+03 ;-2.415485E+03 ; 2.472315E+03 ;-2.472315E+03 ; 2.789196E+03 ;-2.789196E+03 ; 2.792700E+03 ;-2.792700E+03 ; 2.926020E+03 ;-2.926020E+03 ; 3.011270E+03 ;-3.011270E+03 ; 3.931794E+03 ;-3.931794E+03 ; 3.949666E+03 ;-3.949666E+03 ; 5.222406E+03 ;-5.222406E+03 ; 5.223311E+03 ;-5.223311E+03 ; 6.801995E+03 ;-6.801995E+03 ; 6.842495E+03 ;-6.842495E+03 ; 7.338909E+03 ;-7.338909E+03 ; 7.370267E+03 ;-7.370267E+03
 6.666667E+00 ; 3.610580E+01 ;-3.610580E+01 ; 3.624729E+01 ;-3.624729E+01 ; 1.287205E+02 ;-1.287205E+02 ; 1.299856E+02 ;-1.299856E+02 ; 3.269282E+02 ;-3.269282E+02 ; 3.346064E+02 ;-3.346064E+02 ; 5.556945E+02 ;-5.556945E+02 ; 5.720370E+02 ;-5.720370E+02 ; 8.174495E+02 ;-8.174495E+02 ; 8.452735E+02 ;-8.452735E+02 ; 1.132008E+03 ;-1.132008E+03 ; 1.211810E+03 ;-1.211810E+03 ; 1.284172E+03 ;-1.284172E+03 ; 1.376273E+03 ;-1.376273E+03 ; 1.455584E+03 ;-1.455584E+03 ; 1.501882E+03 ;-1.501882E+03 ; 2.415473E+03 ;-2.415473E+03 ; 2.472327E+03 ;-2.472327E+03 ; 2.789110E+03 ;-2.789110E+03 ; 2.792789E+03 ;-2.792789E+03 ; 2.926018E+03 ;-2.926018E+03 ; 3.011274E+03 ;-3.011274E+03 ; 3.931651E+03 ;-3.931651E+03 ; 3.949812E+03 ;-3.949812E+03 ; 5.222255E+03 ;-5.222255E+03 ; 5.223462E+03 ;-5.223462E+03 ; 6.801972E+03 ;-6.801972E+03 ; 6.842519E+03 ;-6.842519E+03 ; 7.338898E+03 ;-7.338898E+03 ; 7.370277E+03 ;-7.370277E+03
 8.333333E+00 ; 3.609987E+01 ;-3.609987E+01 ; 3.625322E+01 ;-3.625322E+01 ; 1.287184E+02 ;-1.287184E+02 ; 1.299876E+02 ;-1.299876E+02 ; 3.268996E+02 ;-3.268996E+02 ; 3.346327E+02 ;-3.346327E+02 ; 5.555822E+02 ;-5.555822E+02 ; 5.721511E+02 ;-5.721511E+02 ; 8.172859E+02 ;-8.172859E+02 ; 8.454361E+02 ;-8.454361E+02 ; 1.132008E+03 ;-1.132008E+03 ; 1.211814E+03 ;-1.211814E+03 ; 1.284162E+03 ;-1.284162E+03 ; 1.376290E+03 ;-1.376290E+03 ; 1.455499E+03 ;-1.455499E+03 ; 1.501985E+03 ;-1.501985E+03 ; 2.415459E+03 ;-2.415459E+03 ; 2.472343E+03 ;-2.472343E+03 ; 2.789004E+03 ;-2.789004E+03 ; 2.792897E+03 ;-2.792897E+03 ; 2.926016E+03 ;-2.926016E+03 ; 3.011280E+03 ;-3.011280E+03 ; 3.931469E+03 ;-3.931469E+03 ; 3.949996E+03 ;-3.949996E+03 ; 5.222104E+03 ;-5.222104E+03 ; 5.223614E+03 ;-5.223614E+03 ; 6.801943E+03 ;-6.801943E+03 ; 6.842550E+03 ;-6.842550E+03 ; 7.338884E+03 ;-7.338884E+03 ; 7.370291E+03 ;-7.370291E+03
 1.000000E+01 ; 3.609319E+01 ;-3.609319E+01 ; 3.625990E+01 ;-3.625990E+01 ; 1.287159E+02 ;-1.287159E+02 ; 1.299899E+02 ;-1.299899E+02 ; 3.268650E+02 ;-3.268650E+02 ; 3.346646E+02 ;-3.346646E+02 ; 5.554470E+02 ;-5.554470E+02 ; 5.722883E+02 ;-5.722883E+02 ; 8.170884E+02 ;-8.170884E+02 ; 8.456324E+02 ;-8.456324E+02 ; 1.132009E+03 ;-1.132009E+03 ; 1.211819E+03 ;-1.211819E+03 ; 1.284149E+03 ;-1.284149E+03 ; 1.376311E+03 ;-1.376311E+03 ; 1.455395E+03 ;-1.455395E+03 ; 1.502111E+03 ;-1.502111E+03 ; 2.415441E+03 ;-2.415441E+03 ; 2.472363E+03 ;-2.472363E+03 ; 2.788881E+03 ;-2.788881E+03 ; 2.793024E+03 ;-2.793024E+03 ; 2.926013E+03 ;-2.926013E+03 ; 3.011286E+03 ;-3.011286E+03 ; 3.931250E+03 ;-3.931250E+03 ; 3.950219E+03 ;-3.950219E+03 ; 5.221954E+03 ;-5.221954E+03 ; 5.223765E+03 ;-5.223765E+03 ; 6.801906E+03 ;-6.801906E+03 ; 6.842587E+03 ;-6.842587E+03 ; 7.338867E+03 ;-7.338867E+03 ; 7.370309E+03 ;-7.370309E+03
 1.166667E+01 ; 3.608592E+01 ;-3.608592E+01 ; 3.626715E+01 ;-3.626715E+01 ; 1.287129E+02 ;-1.287129E+02 ; 1.299927E+02 ;-1.299927E+02 ; 3.268244E+02 ;-3.268244E+02 ; 3.347020E+02 ;-3.347020E+02 ; 5.552899E+02 ;-5.552899E+02 ; 5.724478E+02 ;-5.724478E+02 ; 8.168585E+02 ;-8.168585E+02 ; 8.458609E+02 ;-8.458609E+02 ; 1.132010E+03 ;-1.132010E+03 ; 1.211825E+03 ;-1.211825E+03 ; 1.284134E+03 ;-1.284134E+03 ; 1.376335E+03 ;-1.376335E+03 ; 1.455273E+03 ;-1.455273E+03 ; 1.502260E+03 ;-1.502260E+03 ; 2.415420E+03 ;-2.415420E+03 ; 2.472387E+03 ;-2.472387E+03 ; 2.788744E+03 ;-2.788744E+03 ; 2.793165E+03 ;-2.793165E+03 ; 2.926009E+03 ;-2.926009E+03 ; 3.011294E+03 ;-3.011294E+03 ; 3.930996E+03 ;-3.930996E+03 ; 3.950476E+03 ;-3.950476E+03 ; 5.221803E+03 ;-5.221803E+03 ; 5.223916E+03 ;-5.223916E+03 ; 6.801864E+03 ;-6.801864E+03 ; 6.842631E+03 ;-6.842631E+03 ; 7.338848E+03 ;-7.338848E+03 ; 7.370329E+03 ;-7.370329E+03
 1.333333E+01 ; 3.607820E+01 ;-3.607820E+01 ; 3.627486E+01 ;-3.627486E+01 ; 1.287095E+02 ;-1.287095E+02 ; 1.299959E+02 ;-1.299959E+02 ; 3.267781E+02 ;-3.267781E+02 ; 3.347446E+02 ;-3.347446E+02 ; 5.551123E+02 ;-5.551123E+02 ; 5.726283E+02 ;-5.726283E+02 ; 8.165975E+02 ;-8.165975E+02 ; 8.461202E+02 ;-8.461202E+02 ; 1.132011E+03 ;-1.132011E+03 ; 1.211831E+03 ;-1.211831E+03 ; 1.284117E+03 ;-1.284117E+03 ; 1.376363E+03 ;-1.376363E+03 ; 1.455133E+03 ;-1.455133E+03 ; 1.502430E+03 ;-1.502430E+03 ; 2.415396E+03 ;-2.415396E+03 ; 2.472414E+03 ;-2.472414E+03 ; 2.788595E+03 ;-2.788595E+03 ; 2.793319E+03 ;-2.793319E+03 ; 2.926004E+03 ;-2.926004E+03 ; 3.011303E+03 ;-3.011303E+03 ; 3.930710E+03 ;-3.930710E+03 ; 3.950767E+03 ;-3.950767E+03 ; 5.221653E+03 ;-5.221653E+03 ; 5.224067E+03 ;-5.224067E+03 ; 6.801815E+03 ;-6.801815E+03 ; 6.842682E+03 ;-6.842682E+03 ; 7.338825E+03 ;-7.338825E+03 ; 7.370352E+03 ;-7.370352E+03
 1.500000E+01 ; 3.607013E+01 ;-3.607013E+01 ; 3.628293E+01 ;-3.628293E+01 ; 1.287056E+02 ;-1.287056E+02 ; 1.299995E+02 ;-1.299995E+02 ; 3.267261E+02 ;-3.267261E+02 ; 3.347923E+02 ;-3.347923E+02 ; 5.549153E+02 ;-5.549153E+02 ; 5.728285E+02 ;-5.728285E+02 ; 8.163072E+02 ;-8.163072E+02 ; 8.464086E+02 ;-8.464086E+02 ; 1.132012E+03 ;-1.132012E+03 ; 1.211839E+03 ;-1.211839E+03 ; 1.284098E+03 ;-1.284098E+03 ; 1.376395E+03 ;-1.376395E+03 ; 1.454976E+03 ;-1.454976E+03 ; 1.502622E+03 ;-1.502622E+03 ; 2.415368E+03 ;-2.415368E+03 ; 2.472444E+03 ;-2.472444E+03 ; 2.788437E+03 ;-2.788437E+03 ; 2.793482E+03 ;-2.793482E+03 ; 2.926000E+03 ;-2.926000E+03 ; 3.011313E+03 ;-3.011313E+03 ; 3.930394E+03 ;-3.930394E+03 ; 3.951088E+03 ;-3.951088E+03 ; 5.221502E+03 ;-5.221502E+03 ; 5.224219E+03 ;-5.224219E+03 ; 6.801759E+03 ;-6.801759E+03 ; 6.842740E+03 ;-6.842740E+03 ; 7.338799E+03 ;-7.338799E+03 ; 7.370378E+03 ;-7.370378E+03
 1.666667E+01 ; 3.606177E+01 ;-3.606177E+01 ; 3.629127E+01 ;-3.629127E+01 ; 1.287013E+02 ;-1.287013E+02 ; 1.300035E+02 ;-1.300035E+02 ; 3.266688E+02 ;-3.266688E+02 ; 3.348449E+02 ;-3.348449E+02 ; 5.547002E+02 ;-5.547002E+02 ; 5.730471E+02 ;-5.730471E+02 ; 8.159891E+02 ;-8.159891E+02 ; 8.467246E+02 ;-8.467246E+02 ; 1.132013E+03 ;-1.132013E+03 ; 1.211847E+03 ;-1.211847E+03 ; 1.284076E+03 ;-1.284076E+03 ; 1.376430E+03 ;-1.376430E+03 ; 1.454801E+03 ;-1.454801E+03 ; 1.502835E+03 ;-1.502835E+03 ; 2.415338E+03 ;-2.415338E+03 ; 2.472479E+03 ;-2.472479E+03 ; 2.788271E+03 ;-2.788271E+03 ; 2.793654E+03 ;-2.793654E+03 ; 2.925994E+03 ;-2.925994E+03 ; 3.011325E+03 ;-3.011325E+03 ; 3.930050E+03 ;-3.930050E+03 ; 3.951438E+03 ;-3.951438E+03 ; 5.221352E+03 ;-5.221352E+03 ; 5.224370E+03 ;-5.224370E+03 ; 6.801697E+03 ;-6.801697E+03 ; 6.842804E+03 ;-6.842804E+03 ; 7.338769E+03 ;-7.338769E+03 ; 7.370408E+03 ;-7.370408E+03
 1.833333E+01 ; 3.605320E+01 ;-3.605320E+01 ; 3.629983E+01 ;-3.629983E+01 ; 1.286966E+02 ;-1.286966E+02 ; 1.300078E+02 ;-1.300078E+02 ; 3.266063E+02 ;-3.266063E+02 ; 3.349022E+02 ;-3.349022E+02 ; 5.544683E+02 ;-5.544683E+02 ; 5.732830E+02 ;-5.732830E+02 ; 8.156450E+02 ;-8.156450E+02 ; 8.470665E+02 ;-8.470665E+02 ; 1.132015E+03 ;-1.132015E+03 ; 1.211856E+03 ;-1.211856E+03 ; 1.284053E+03 ;-1.284053E+03 ; 1.376469E+03 ;-1.376469E+03 ; 1.454609E+03 ;-1.454609E+03 ; 1.503070E+03 ;-1.503070E+03 ; 2.415304E+03 ;-2.415304E+03 ; 2.472517E+03 ;-2.472517E+03 ; 2.788099E+03 ;-2.788099E+03 ; 2.793833E+03 ;-2.793833E+03 ; 2.925988E+03 ;-2.925988E+03 ; 3.011337E+03 ;-3.011337E+03 ; 3.929681E+03 ;-3.929681E+03 ; 3.951814E+03 ;-3.951814E+03 ; 5.221201E+03 ;-5.221201E+03 ; 5.224522E+03 ;-5.224522E+03 ; 6.801629E+03 ;-6.801629E+03 ; 6.842876E+03 ;-6.842876E+03 ; 7.338737E+03 ;-7.338737E+03 ; 7.370440E+03 ;-7.370440E+03
 2.000000E+01 ; 3.604444E+01 ;-3.604444E+01 ; 3.630858E+01 ;-3.630858E+01 ; 1.286915E+02 ;-1.286915E+02 ; 1.300126E+02 ;-1.300126E+02 ; 3.265388E+02 ;-3.265388E+02 ; 3.349640E+02 ;-3.349640E+02 ; 5.542208E+02 ;-5.542208E+02 ; 5.735348E+02 ;-5.735348E+02 ; 8.152764E+02 ;-8.152764E+02 ; 8.474325E+02 ;-8.474325E+02 ; 1.132016E+03 ;-1.132016E+03 ; 1.211866E+03 ;-1.211866E+03 ; 1.284027E+03 ;-1.284027E+03 ; 1.376512E+03 ;-1.376512E+03 ; 1.454401E+03 ;-1.454401E+03 ; 1.503324E+03 ;-1.503324E+03 ; 2.415267E+03 ;-2.415267E+03 ; 2.472558E+03 ;-2.472558E+03 ; 2.787922E+03 ;-2.787922E+03 ; 2.794018E+03 ;-2.794018E+03 ; 2.925982E+03 ;-2.925982E+03 ; 3.011351E+03 ;-3.011351E+03 ; 3.929289E+03 ;-3.929289E+03 ; 3.952213E+03 ;-3.952213E+03 ; 5.221051E+03 ;-5.221051E+03 ; 5.224673E+03 ;-5.224673E+03 ; 6.801554E+03 ;-6.801554E+03 ; 6.842954E+03 ;-6.842954E+03 ; 7.338702E+03 ;-7.338702E+03 ; 7.370476E+03 ;-7.370476E+03
 2.166667E+01 ; 3.603553E+01 ;-3.603553E+01 ; 3.631746E+01 ;-3.631746E+01 ; 1.286860E+02 ;-1.286860E+02 ; 1.300177E+02 ;-1.300177E+02 ; 3.264665E+02 ;-3.264665E+02 ; 3.350300E+02 ;-3.350300E+02 ; 5.539589E+02 ;-5.539589E+02 ; 5.738014E+02 ;-5.738014E+02 ; 8.148851E+02 ;-8.148851E+02 ; 8.478211E+02 ;-8.478211E+02 ; 1.132018E+03 ;-1.132018E+03 ; 1.211877E+03 ;-1.211877E+03 ; 1.283998E+03 ;-1.283998E+03 ; 1.376559E+03 ;-1.376559E+03 ; 1.454177E+03 ;-1.454177E+03 ; 1.503599E+03 ;-1.503599E+03 ; 2.415227E+03 ;-2.415227E+03 ; 2.472603E+03 ;-2.472603E+03 ; 2.787740E+03 ;-2.787740E+03 ; 2.794208E+03 ;-2.794208E+03 ; 2.925974E+03 ;-2.925974E+03 ; 3.011366E+03 ;-3.011366E+03 ; 3.928877E+03 ;-3.928877E+03 ; 3.952633E+03 ;-3.952633E+03 ; 5.220901E+03 ;-5.220901E+03 ; 5.224825E+03 ;-5.224825E+03 ; 6.801472E+03 ;-6.801472E+03 ; 6.843038E+03 ;-6.843038E+03 ; 7.338664E+03 ;-7.338664E+03 ; 7.370515E+03 ;-7.370515E+03
 2.333333E+01 ; 3.602651E+01 ;-3.602651E+01 ; 3.632647E+01 ;-3.632647E+01 ; 1.286801E+02 ;-1.286801E+02 ; 1.300232E+02 ;-1.300232E+02 ; 3.263897E+02 ;-3.263897E+02 ; 3.351001E+02 ;-3.351001E+02 ; 5.536837E+02 ;-5.536837E+02 ; 5.740816E+02 ;-5.740816E+02 ; 8.144726E+02 ;-8.144726E+02 ; 8.482306E+02 ;-8.482306E+02 ; 1.132020E+03 ;-1.132020E+03 ; 1.211889E+03 ;-1.211889E+03 ; 1.283968E+03 ;-1.283968E+03 ; 1.376609E+03 ;-1.376609E+03 ; 1.453938E+03 ;-1.453938E+03 ; 1.503893E+03 ;-1.503893E+03 ; 2.415184E+03 ;-2.415184E+03 ; 2.472651E+03 ;-2.472651E+03 ; 2.787556E+03 ;-2.787556E+03 ; 2.794402E+03 ;-2.794402E+03 ; 2.925967E+03 ;-2.925967E+03 ; 3.011383E+03 ;-3.011383E+03 ; 3.928445E+03 ;-3.928445E+03 ; 3.953073E+03 ;-3.953073E+03 ; 5.220751E+03 ;-5.220751E+03 ; 5.224977E+03 ;-5.224977E+03 ; 6.801384E+03 ;-6.801384E+03 ; 6.843129E+03 ;-6.843129E+03 ; 7.338623E+03 ;-7.338623E+03 ; 7.370557E+03 ;-7.370557E+03
 2.500000E+01 ; 3.601738E+01 ;-3.601738E+01 ; 3.633558E+01 ;-3.633558E+01 ; 1.286738E+02 ;-1.286738E+02 ; 1.300290E+02 ;-1.300290E+02 ; 3.263086E+02 ;-3.263086E+02 ; 3.351741E+02 ;-3.351741E+02 ; 5.533963E+02 ;-5.533963E+02 ; 5.743744E+02 ;-5.743744E+02 ; 8.140404E+02 ;-8.140404E+02 ; 8.486596E+02 ;-8.486596E+02 ; 1.132022E+03 ;-1.132022E+03 ; 1.211901E+03 ;-1.211901E+03 ; 1.283935E+03 ;-1.283935E+03 ; 1.376663E+03 ;-1.376663E+03 ; 1.453683E+03 ;-1.453683E+03 ; 1.504207E+03 ;-1.504207E+03 ; 2.415138E+03 ;-2.415138E+03 ; 2.472703E+03 ;-2.472703E+03 ; 2.787368E+03 ;-2.787368E+03 ; 2.794599E+03 ;-2.794599E+03 ; 2.925958E+03 ;-2.925958E+03 ; 3.011400E+03 ;-3.011400E+03 ; 3.927997E+03 ;-3.927997E+03 ; 3.953530E+03 ;-3.953530E+03 ; 5.220600E+03 ;-5.220600E+03 ; 5.225128E+03 ;-5.225128E+03 ; 6.801290E+03 ;-6.801290E+03 ; 6.843227E+03 ;-6.843227E+03 ; 7.338578E+03 ;-7.338578E+03 ; 7.370601E+03 ;-7.370601E+03
 2.666667E+01 ; 3.600817E+01 ;-3.600817E+01 ; 3.634477E+01 ;-3.634477E+01 ; 1.286672E+02 ;-1.286672E+02 ; 1.300352E+02 ;-1.300352E+02 ; 3.262234E+02 ;-3.262234E+02 ; 3.352516E+02 ;-3.352516E+02 ; 5.530978E+02 ;-5.530978E+02 ; 5.746788E+02 ;-5.746788E+02 ; 8.135900E+02 ;-8.135900E+02 ; 8.491066E+02 ;-8.491066E+02 ; 1.132024E+03 ;-1.132024E+03 ; 1.211915E+03 ;-1.211915E+03 ; 1.283900E+03 ;-1.283900E+03 ; 1.376720E+03 ;-1.376720E+03 ; 1.453414E+03 ;-1.453414E+03 ; 1.504539E+03 ;-1.504539E+03 ; 2.415088E+03 ;-2.415088E+03 ; 2.472759E+03 ;-2.472759E+03 ; 2.787178E+03 ;-2.787178E+03 ; 2.794799E+03 ;-2.794799E+03 ; 2.925950E+03 ;-2.925950E+03 ; 3.011419E+03 ;-3.011419E+03 ; 3.927534E+03 ;-3.927534E+03 ; 3.954002E+03 ;-3.954002E+03 ; 5.220450E+03 ;-5.220450E+03 ; 5.225280E+03 ;-5.225280E+03 ; 6.801189E+03 ;-6.801189E+03 ; 6.843332E+03 ;-6.843332E+03 ; 7.338531E+03 ;-7.338531E+03 ; 7.370649E+03 ;-7.370649E+03
 2.833333E+01 ; 3.599889E+01 ;-3.599889E+01 ; 3.635403E+01 ;-3.635403E+01 ; 1.286601E+02 ;-1.286601E+02 ; 1.300417E+02 ;-1.300417E+02 ; 3.261342E+02 ;-3.261342E+02 ; 3.353326E+02 ;-3.353326E+02 ; 5.527890E+02 ;-5.527890E+02 ; 5.749937E+02 ;-5.749937E+02 ; 8.131226E+02 ;-8.131226E+02 ; 8.495703E+02 ;-8.495703E+02 ; 1.132026E+03 ;-1.132026E+03 ; 1.211929E+03 ;-1.211929E+03 ; 1.283863E+03 ;-1.283863E+03 ; 1.376782E+03 ;-1.376782E+03 ; 1.453132E+03 ;-1.453132E+03 ; 1.504889E+03 ;-1.504889E+03 ; 2.415035E+03 ;-2.415035E+03 ; 2.472818E+03 ;-2.472818E+03 ; 2.786986E+03 ;-2.786986E+03 ; 2.795002E+03 ;-2.795002E+03 ; 2.925940E+03 ;-2.925940E+03 ; 3.011439E+03 ;-3.011439E+03 ; 3.927058E+03 ;-3.927058E+03 ; 3.954489E+03 ;-3.954489E+03 ; 5.220300E+03 ;-5.220300E+03 ; 5.225432E+03 ;-5.225432E+03 ; 6.801083E+03 ;-6.801083E+03 ; 6.843443E+03 ;-6.843443E+03 ; 7.338481E+03 ;-7.338481E+03 ; 7.370700E+03 ;-7.370700E+03
 3.000000E+01 ; 3.598955E+01 ;-3.598955E+01 ; 3.636335E+01 ;-3.636335E+01 ; 1.286528E+02 ;-1.286528E+02 ; 1.300486E+02 ;-1.300486E+02 ; 3.260413E+02 ;-3.260413E+02 ; 3.354168E+02 ;-3.354168E+02 ; 5.524709E+02 ;-5.524709E+02 ; 5.753185E+02 ;-5.753185E+02 ; 8.126397E+02 ;-8.126397E+02 ; 8.500493E+02 ;-8.500493E+02 ; 1.132028E+03 ;-1.132028E+03 ; 1.211944E+03 ;-1.211944E+03 ; 1.283824E+03 ;-1.283824E+03 ; 1.376846E+03 ;-1.376846E+03 ; 1.452835E+03 ;-1.452835E+03 ; 1.505256E+03 ;-1.505256E+03 ; 2.414980E+03 ;-2.414980E+03 ; 2.472880E+03 ;-2.472880E+03 ; 2.786792E+03 ;-2.786792E+03 ; 2.795207E+03 ;-2.795207E+03 ; 2.925930E+03 ;-2.925930E+03 ; 3.011460E+03 ;-3.011460E+03 ; 3.926570E+03 ;-3.926570E+03 ; 3.954988E+03 ;-3.954988E+03 ; 5.220150E+03 ;-5.220150E+03 ; 5.225584E+03 ;-5.225584E+03 ; 6.800969E+03 ;-6.800969E+03 ; 6.843560E+03 ;-6.843560E+03 ; 7.338427E+03 ;-7.338427E+03 ; 7.370754E+03 ;-7.370754E+03
 3.166667E+01 ; 3.598016E+01 ;-3.598016E+01 ; 3.637272E+01 ;-3.637272E+01 ; 1.286450E+02 ;-1.286450E+02 ; 1.300557E+02 ;-1.300557E+02 ; 3.259449E+02 ;-3.259449E+02 ; 3.355040E+02 ;-3.355040E+02 ; 5.521441E+02 ;-5.521441E+02 ; 5.756522E+02 ;-5.756522E+02 ; 8.121424E+02 ;-8.121424E+02 ; 8.505425E+02 ;-8.505425E+02 ; 1.132031E+03 ;-1.132031E+03 ; 1.211960E+03 ;-1.211960E+03 ; 1.283782E+03 ;-1.283782E+03 ; 1.376915E+03 ;-1.376915E+03 ; 1.452526E+03 ;-1.452526E+03 ; 1.505641E+03 ;-1.505641E+03 ; 2.414921E+03 ;-2.414921E+03 ; 2.472946E+03 ;-2.472946E+03 ; 2.786597E+03 ;-2.786597E+03 ; 2.795415E+03 ;-2.795415E+03 ; 2.925920E+03 ;-2.925920E+03 ; 3.011482E+03 ;-3.011482E+03 ; 3.926071E+03 ;-3.926071E+03 ; 3.955499E+03 ;-3.955499E+03 ; 5.220000E+03 ;-5.220000E+03 ; 5.225736E+03 ;-5.225736E+03 ; 6.800850E+03 ;-6.800850E+03 ; 6.843684E+03 ;-6.843684E+03 ; 7.338371E+03 ;-7.338371E+03 ; 7.370811E+03 ;-7.370811E+03
